_,_,util
48,0,0.00
42,1352,66.02
43,1697,82.86
44,1513,73.88
45,1591,77.69
46,0,0.00
47,0,0.00
48,0,0.00
42,1244,60.74
43,1490,72.75
44,1386,67.68
45,1421,69.38
46,1544,75.39
47,0,0.00
48,0,0.00
49,0,0.00
44,1347,65.77
45,1400,68.36
46,1525,74.46
47,0,0.00
48,0,0.00
49,0,0.00
50,0,0.00
46,1505,73.49
47,0,0.00
48,0,0.00
49,0,0.00
50,0,0.00
51,0,0.00
52,0,0.00
47,1487,72.61
48,0,0.00
49,0,0.00
50,0,0.00
51,0,0.00
52,0,0.00
53,0,0.00
47,1379,67.33
48,0,0.00
49,0,0.00
50,0,0.00
51,0,0.00
52,0,0.00
53,0,0.00
47,1226,59.86
48,1381,67.43
49,1433,69.97
50,1526,74.51
51,1496,73.05
52,0,0.00
53,0,0.00
54,0,0.00
47,1082,52.83
48,1287,62.84
49,1248,60.94
50,1400,68.36
51,1377,67.24
52,0,0.00
53,0,0.00
54,0,0.00
47,982,47.95
48,1143,55.81
49,1158,56.54
50,1238,60.45
51,1286,62.79
52,1254,61.23
53,0,0.00
54,0,0.00
55,0,0.00
49,1139,55.62
50,1216,59.38
51,1261,61.57
52,1243,60.69
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
51,1251,61.08
52,1216,59.38
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
53,1484,72.46
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
53,1321,64.50
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
53,1150,56.15
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
53,1096,53.52
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
53,988,48.24
54,1218,59.47
55,1151,56.20
56,1109,54.15
57,1328,64.84
58,1251,61.08
59,0,0.00
60,0,0.00
61,0,0.00
55,1142,55.76
56,1109,54.15
57,1310,63.96
58,1245,60.79
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
57,1310,63.96
58,1223,59.72
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
2,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
2,0,0.00
59,1394,68.07
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
2,0,0.00
59,1224,59.77
60,0,0.00
61,0,0.00
62,0,0.00
0,1552,75.78
1,0,0.00
2,0,0.00
3,0,0.00
59,1170,57.13
60,1378,67.29
61,1439,70.26
62,1434,70.02
0,1453,70.95
1,0,0.00
2,0,0.00
3,0,0.00
59,1035,50.54
60,1279,62.45
61,1349,65.87
62,1261,61.57
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
59,1035,50.54
60,1279,62.45
61,1340,65.43
62,1243,60.69
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
60,1269,61.96
61,1330,64.94
62,1233,60.21
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
61,1240,60.55
62,1135,55.42
1,1162,56.74
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
62,1135,55.42
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
2,1287,62.84
3,1567,76.51
4,1610,78.61
5,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
2,1188,58.01
3,1427,69.68
4,1430,69.82
5,1494,72.95
6,1595,77.88
7,0,0.00
8,0,0.00
9,0,0.00
2,1016,49.61
3,1337,65.28
4,1322,64.55
5,1403,68.51
6,1442,70.41
7,0,0.00
8,0,0.00
9,0,0.00
2,916,44.73
3,1238,60.45
4,1159,56.59
5,1303,63.62
6,1361,66.46
7,1258,61.43
8,0,0.00
9,0,0.00
10,0,0.00
4,1149,56.10
5,1294,63.18
6,1352,66.02
7,1248,60.94
8,0,0.00
9,0,0.00
10,0,0.00
11,0,0.00
6,1342,65.53
7,1220,59.57
8,0,0.00
9,0,0.00
10,0,0.00
11,0,0.00
12,0,0.00
8,0,0.00
9,0,0.00
10,0,0.00
11,0,0.00
12,0,0.00
13,0,0.00
14,0,0.00
8,1378,67.29
9,0,0.00
10,0,0.00
11,0,0.00
12,0,0.00
13,0,0.00
14,0,0.00
8,1279,62.45
9,0,0.00
10,0,0.00
11,0,0.00
12,0,0.00
13,0,0.00
14,0,0.00
8,1189,58.06
9,0,0.00
10,0,0.00
11,0,0.00
12,0,0.00
13,0,0.00
14,0,0.00
15,0,0.00
8,1009,49.27
9,0,0.00
10,0,0.00
11,0,0.00
12,0,0.00
13,0,0.00
14,0,0.00
15,0,0.00
8,865,42.24
9,1182,57.71
10,1112,54.30
11,1225,59.81
12,1244,60.74
13,1237,60.40
14,0,0.00
15,0,0.00
16,0,0.00
10,1103,53.86
11,1216,59.38
12,1235,60.30
13,1231,60.11
14,0,0.00
15,0,0.00
16,0,0.00
17,0,0.00
12,1217,59.42
13,1211,59.13
14,0,0.00
15,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
14,0,0.00
15,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
14,1429,69.78
15,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
14,1320,64.45
15,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
14,1149,56.10
15,1400,68.36
16,1448,70.70
17,1491,72.80
18,1461,71.34
19,0,0.00
20,0,0.00
21,0,0.00
14,1086,53.03
15,1274,62.21
16,1295,63.23
17,1320,64.45
18,1326,64.75
19,0,0.00
20,0,0.00
21,0,0.00
14,1018,49.71
15,1153,56.30
16,1151,56.20
17,1230,60.06
18,1245,60.79
19,1233,60.21
20,0,0.00
21,0,0.00
22,0,0.00
16,1151,56.20
17,1230,60.06
18,1236,60.35
19,1210,59.08
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
18,1209,59.03
19,1207,58.94
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
25,0,0.00
26,0,0.00
20,1415,69.09
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
25,0,0.00
26,0,0.00
20,1288,62.89
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
25,0,0.00
26,0,0.00
20,1171,57.18
21,1374,67.09
22,1490,72.75
23,1393,68.02
24,1591,77.69
25,0,0.00
26,0,0.00
27,0,0.00
20,1117,54.54
21,1258,61.43
22,1381,67.43
23,1202,58.69
24,1420,69.34
25,0,0.00
26,0,0.00
27,0,0.00
20,1000,48.83
21,1132,55.27
22,1269,61.96
23,1103,53.86
24,1305,63.72
25,0,0.00
26,0,0.00
27,0,0.00
28,0,0.00
22,1242,60.64
23,1103,53.86
24,1296,63.28
25,0,0.00
26,0,0.00
27,0,0.00
28,0,0.00
29,0,0.00
24,1296,63.28
25,0,0.00
26,0,0.00
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
25,1035,50.54
26,1440,70.31
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
26,1432,69.92
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
32,0,0.00
26,1307,63.82
27,1566,76.46
28,1493,72.90
29,1572,76.76
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
26,1244,60.74
27,1431,69.87
28,1376,67.19
29,1373,67.04
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
26,1181,57.67
27,1287,62.84
28,1267,61.87
29,1228,59.96
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
26,1073,52.39
27,1172,57.23
28,1174,57.32
29,1098,53.61
30,1209,59.03
31,1198,58.50
32,0,0.00
33,0,0.00
34,0,0.00
26,965,47.12
27,1036,50.59
28,1129,55.13
29,963,47.02
30,1036,50.59
